,date,weekday,month,journey_origin,journey_destination,journey_start,journey_end,journey_duration,journey_numberlegs,leg1_train,leg1_origin,leg1_destination,leg1_start,leg1_end,leg1_duration,leg2_train,leg2_origin,leg2_destination,leg2_start,leg2_end,leg2_duration,leg3_train,leg3_origin,leg3_destination,leg3_start,leg3_end,leg3_duration
19,2022-09-04,6,9,Köln Hbf,München Hbf,2022-09-04 18:54:00+02:00,2022-09-04 23:29:00+02:00,16500,2,ICE 203,Köln Hbf,Mannheim Hbf,2022-09-04 18:54:00+02:00,2022-09-04 20:23:00+02:00,5340,ICE 693,Mannheim Hbf,München Hbf,2022-09-04 20:30:00+02:00,2022-09-04 23:29:00+02:00,10740,-1,-1,-1,-1,-1,-1
20,2022-09-04,6,9,Köln Hbf,München Hbf,2022-09-04 19:55:00+02:00,2022-09-05 00:27:00+02:00,16320,1,ICE 615,Köln Hbf,München Hbf,2022-09-04 19:55:00+02:00,2022-09-05 00:27:00+02:00,16320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,2022-09-04,6,9,Köln Hbf,München Hbf,2022-09-04 20:27:00+02:00,2022-09-05 01:33:00+02:00,18360,2,ICE 159,Köln Hbf,Frankfurt(Main) Hbf,2022-09-04 20:27:00+02:00,2022-09-04 21:31:00+02:00,3840,ICE 695,Frankfurt(Main) Hbf,München Hbf,2022-09-04 21:50:00+02:00,2022-09-05 01:33:00+02:00,13380,-1,-1,-1,-1,-1,-1
22,2022-09-04,6,9,Köln Hbf,München Hbf,2022-09-04 23:55:00+02:00,2022-09-05 06:03:00+02:00,22080,1,ICE 619,Köln Hbf,München Hbf,2022-09-04 23:55:00+02:00,2022-09-05 06:03:00+02:00,22080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,2022-09-05,0,9,Köln Hbf,München Hbf,2022-09-05 03:19:00+02:00,2022-09-05 08:33:00+02:00,18840,1,ICE 827,Köln Hbf,München Hbf,2022-09-05 03:19:00+02:00,2022-09-05 08:33:00+02:00,18840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,2022-09-05,0,9,Köln Hbf,München Hbf,2022-09-05 04:22:00+02:00,2022-09-05 09:39:00+02:00,19020,1,ICE 521,Köln Hbf,München Hbf,2022-09-05 04:22:00+02:00,2022-09-05 09:39:00+02:00,19020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,2022-09-05,0,9,Köln Hbf,München Hbf,2022-09-05 05:48:00+02:00,2022-09-05 10:27:00+02:00,16740,1,ICE 511,Köln Hbf,München Hbf,2022-09-05 05:48:00+02:00,2022-09-05 10:27:00+02:00,16740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,2022-09-05,0,9,Köln Hbf,München Hbf,2022-09-05 06:54:00+02:00,2022-09-05 11:27:00+02:00,16380,2,ICE 101,Köln Hbf,Mannheim Hbf,2022-09-05 06:54:00+02:00,2022-09-05 08:23:00+02:00,5340,ICE 591,Mannheim Hbf,München Hbf,2022-09-05 08:30:00+02:00,2022-09-05 11:27:00+02:00,10620,-1,-1,-1,-1,-1,-1
27,2022-09-05,0,9,Köln Hbf,München Hbf,2022-09-05 07:55:00+02:00,2022-09-05 12:27:00+02:00,16320,1,ICE 513,Köln Hbf,München Hbf,2022-09-05 07:55:00+02:00,2022-09-05 12:27:00+02:00,16320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,2022-09-05,0,9,Köln Hbf,München Hbf,2022-09-05 08:23:00+02:00,2022-09-05 13:12:00+02:00,17340,3,ICE 11,Köln Hbf,Frankfurt(Main) Flughafen Fernbf,2022-09-05 08:23:00+02:00,2022-09-05 09:17:00+02:00,3240,ICE 571,Frankfurt(Main) Flughafen Fernbf,Stuttgart Hbf,2022-09-05 09:24:00+02:00,Stuttgart Hbf,4380,ICE 1163,Stuttgart Hbf,München Hbf,2022-09-05 10:54:00+02:00,2022-09-05 13:12:00+02:00,8280
29,2022-09-05,0,9,Köln Hbf,München Hbf,2022-09-05 08:54:00+02:00,2022-09-05 13:27:00+02:00,16380,2,ICE 103,Köln Hbf,Mannheim Hbf,2022-09-05 08:54:00+02:00,2022-09-05 10:23:00+02:00,5340,ICE 593,Mannheim Hbf,München Hbf,2022-09-05 10:30:00+02:00,2022-09-05 13:27:00+02:00,10620,-1,-1,-1,-1,-1,-1
30,2022-09-05,0,9,Köln Hbf,München Hbf,2022-09-05 09:55:00+02:00,2022-09-05 14:27:00+02:00,16320,1,ICE 515,Köln Hbf,München Hbf,2022-09-05 09:55:00+02:00,2022-09-05 14:27:00+02:00,16320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,2022-09-05,0,9,Köln Hbf,München Hbf,2022-09-05 10:18:00+02:00,2022-09-05 15:12:00+02:00,17640,3,ICE 13,Köln Hbf,Frankfurt(Main) Flughafen Fernbf,2022-09-05 10:18:00+02:00,2022-09-05 11:17:00+02:00,3540,ICE 573,Frankfurt(Main) Flughafen Fernbf,Stuttgart Hbf,2022-09-05 11:24:00+02:00,Stuttgart Hbf,4440,IC 2265,Stuttgart Hbf,München Hbf,2022-09-05 12:54:00+02:00,2022-09-05 15:12:00+02:00,8280
32,2022-09-05,0,9,Köln Hbf,München Hbf,2022-09-05 10:54:00+02:00,2022-09-05 15:28:00+02:00,16440,2,ICE 255,Köln Hbf,Mannheim Hbf,2022-09-05 10:54:00+02:00,2022-09-05 12:23:00+02:00,5340,ICE 595,Mannheim Hbf,München Hbf,2022-09-05 12:30:00+02:00,2022-09-05 15:28:00+02:00,10680,-1,-1,-1,-1,-1,-1
33,2022-09-05,0,9,Köln Hbf,München Hbf,2022-09-05 11:55:00+02:00,2022-09-05 16:27:00+02:00,16320,1,ICE 517,Köln Hbf,München Hbf,2022-09-05 11:55:00+02:00,2022-09-05 16:27:00+02:00,16320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,2022-09-05,0,9,Köln Hbf,München Hbf,2022-09-05 12:54:00+02:00,2022-09-05 17:27:00+02:00,16380,2,ICE 107,Köln Hbf,Mannheim Hbf,2022-09-05 12:54:00+02:00,2022-09-05 14:23:00+02:00,5340,ICE 597,Mannheim Hbf,München Hbf,2022-09-05 14:30:00+02:00,2022-09-05 17:27:00+02:00,10620,-1,-1,-1,-1,-1,-1
35,2022-09-05,0,9,Köln Hbf,München Hbf,2022-09-05 13:55:00+02:00,2022-09-05 18:27:00+02:00,16320,1,ICE 519,Köln Hbf,München Hbf,2022-09-05 13:55:00+02:00,2022-09-05 18:27:00+02:00,16320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,2022-09-05,0,9,Köln Hbf,München Hbf,2022-09-05 14:27:00+02:00,2022-09-05 19:11:00+02:00,17040,3,ICE 315,Köln Hbf,Frankfurt(Main) Flughafen Fernbf,2022-09-05 14:27:00+02:00,2022-09-05 15:17:00+02:00,3000,ICE 577,Frankfurt(Main) Flughafen Fernbf,Stuttgart Hbf,2022-09-05 15:24:00+02:00,Stuttgart Hbf,4500,IC 1299,Stuttgart Hbf,München Hbf,2022-09-05 16:54:00+02:00,2022-09-05 19:11:00+02:00,8220
